swipe,score,tier,family,title,raw_url,source
23,D,BANNED,BANNED,THE FOUR-BAN IMAGE,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_23.jpg,
24,D,BANNED,BANNED,THE CLAIM WE CANNOT MAKE,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_24.jpg,
25,D,BANNED,BANNED,TESTIMONIAL OVERLAY,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_25.jpg,
26,D,BANNED,BANNED,LIFESTYLE WALLPAPER,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_26.jpg,
27,A,UNPROVEN,BEFORE & AFTER,THE FAILURE-FIRST SPLIT,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_27.jpg,
28,B,UNPROVEN,US VS THEM,THE COMPARISON GRID,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_28.jpg,
29,C,UNPROVEN,FEATURES & BENEFITS,FACE CALLOUT,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_29.jpg,
30,D,BANNED,BANNED,THE SCREENSHOT-TO-MOCK,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_30.jpg,
31,B,PROVEN,AUTHORITY FRAME,THE PRESS-QUOTE STACK,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_31.jpg,
32,B,PROVEN,BOLD CLAIM,THE TIMELINE PROMISE,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_32.jpg,
33,A,PROVEN,QUESTION,THE ARTICLE HOOK,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_33.jpg,
34,A,PROVEN,REASONS WHY,THE FIVE-REASON LIST,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_34.jpg,
35,C,PROVEN,FEATURES & BENEFITS,THE FLAVOUR GRID,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_35.jpg,
36,B,PROVEN,US VS THEM,THE US-VS-THEM SPLIT,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_36.jpg,
37,A,PROVEN,iPhone NOTES,THE IPHONE NOTE (NEW TYPE),https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_37.jpg,
38,A,PROVEN,OFFER,THE FLO REJECTION OFFER,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_38.jpg,
39,B,PROVEN,TESTIMONIAL,THE MALE TESTIMONIAL CARD,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_39.jpg,
40,B,PROVEN,US VS THEM,THE TWO-COLUMN OUTCOME COMPARE,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_40.jpg,
41,A,PROVEN,STICKY NOTES,THE STICKY NOTE (NEW TYPE),https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_41.jpg,
42,A,PROVEN,FEATURES & BENEFITS,THE FEATURE-ARROW PRODUCT,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_42.jpg,
43,A,PROVEN,FEATURES & BENEFITS,THE BENEFIT-NUMBERED PRODUCT,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_43.jpg,
44,A,PROVEN,BOLD CLAIM,THE BIG-NUMBER STAT STACK,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_44.jpg,
45,A,PROVEN,REASONS WHY,THE REASONS-WHY RAGE BAIT (NEW TYPE),https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_45.jpg,
46,B,PROVEN,INGREDIENT / MECHANISM,THE INGREDIENT-EDUCATION CARD,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_46.jpg,
47,B,PROVEN,BOLD CLAIM,THE HONEST-MACRO CLAIM BAR,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_47.jpg,
48,B,PROVEN,TESTIMONIAL,THE CELEBRITY QUOTE FRAME,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_48.jpg,
49,A,PROVEN,QUESTION,THE CURVED-TEXT DIAGNOSTIC,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_49.jpg,
50,B,PROVEN,TESTIMONIAL,THE UGC QUOTE OVERLAY,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_50.jpg,
51,A,PROVEN,ARTIFACT / HERO,THE ICE-BLOCK ARTIFACT,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_51.jpg,
52,A,PROVEN,AUTHORITY FRAME,THE ORIGIN-AUTHORITY HERO,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_52.jpg,
53,A,PROVEN,INGREDIENT / MECHANISM,THE BOTANICAL SPLIT,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_53.jpg,
54,A,PROVEN,INGREDIENT / MECHANISM,THE INGREDIENT SPLASH,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_54.jpg,
55,A,PROVEN,INGREDIENT / MECHANISM,THE NEGATION MECHANISM,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_55.jpg,
56,A,PROVEN,INGREDIENT / MECHANISM,THE SINGLE-INGREDIENT PORTRAIT,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_56.jpg,
57,A,PROVEN,BOLD CLAIM,THE NEGATION-ON-WHITE,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_57.jpg,
58,A,PROVEN,INGREDIENT / MECHANISM,THE INGREDIENT-TRIPLET STACK,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_58.jpg,
59,A,PROVEN,BOLD CLAIM,THE WATERLESS DECLARATION,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_59.jpg,
60,B,PROVEN,ARTIFACT / HERO,THE POLAROID NATIVE,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_60.jpg,
61,A,PROVEN,US VS THEM,THE TWO-COLUMN VERDICT GRID,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_61.jpg,
62,A,PROVEN,US VS THEM,THE BRANDED-PRENATAL COMPARE,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_62.jpg,
63,A,PROVEN,BOLD CLAIM,THE TIMEFRAME PILL CLAIM,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_63.jpg,
64,A,PROVEN,BOLD CLAIM,THE CATEGORY-REFRAME CLAIM,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_64.jpg,
65,A,PROVEN,iPhone NOTES,THE NOTES-APP REASON LIST,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_65.jpg,
66,A,PROVEN,iPhone NOTES,THE DARK NOTES DIAGNOSTIC,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_66.jpg,
67,A,PROVEN,FEATURES & BENEFITS,THE BIG-NUMBER BENEFIT STACK,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_67.jpg,
68,A,PROVEN,FEATURES & BENEFITS,THE NUMBERED BENEFIT LADDER,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_68.jpg,
69,B,PROVEN,BEFORE & AFTER,THE WITHHELD AFTER,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_69.jpg,
70,A,PROVEN,BEFORE & AFTER,THE HANDLE-STAMPED DIPTYCH,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_70.jpg,
71,B,PROVEN,OFFER,THE FLAVOUR-QUAD OFFER,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_71.jpg,
72,B,PROVEN,OFFER,THE GUARANTEE ULTIMATUM,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_72.jpg,
73,A,PROVEN,TESTIMONIAL,THE PRESS-BACKED QUOTE,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_73.jpg,
74,A,PROVEN,TESTIMONIAL,THE FACE-AND-CARD REVIEW,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_74.jpg,
75,A,PROVEN,QUESTION,THE ARTICLE-HOOK QUESTION,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_75.jpg,
76,A,PROVEN,QUESTION,THE ONE-WORD DIAGNOSTIC,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_76.jpg,
77,A,PROVEN,REASONS WHY,THE COUNTED REASON STACK,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_77.jpg,
78,A,PROVEN,REASONS WHY,THE ENEMY-NAMING REASON LIST,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_78.jpg,
79,A,PROVEN,STICKY NOTES,THE IN-SITU STICKY NOTE,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_79.jpg,
80,A,PROVEN,STICKY NOTES,THE UNBOXING NOTE CLUSTER,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_80.jpg,
81,A,PROVEN,F2 ILLUSTRATED BEFORE/AFTER & MECHANISM,TWO-FIGURE BLAME REFRAME,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_81.jpg,R01
82,A,PROVEN,F6 BIG-CLAIM PRODUCT HERO,CLAIM + STAT STRIP,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_82.jpg,R02
83,A,PROVEN,F7 EDITORIAL / ADVERTORIAL STYLE,CULTURAL-SECRET LONG HEADLINE,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_83.jpg,R03
84,A,PROVEN,F4 US-VS-THEM COMPARISON,RANKED TEST GRID,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_84.jpg,R04
85,A,PROVEN,F2 ILLUSTRATED BEFORE/AFTER & MECHANISM,ILLUSTRATED CONDITION SPLIT,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_85.jpg,R05
86,A,PROVEN,F7 EDITORIAL / ADVERTORIAL STYLE,AUTHORITY'S PRIVATE NOTES,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_86.jpg,R06
87,A,PROVEN,F8 PROBLEM-AGITATION VISUAL,PRIVATE-PAIN FIRST PERSON,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_87.jpg,R07
88,A,PROVEN,F6 BIG-CLAIM PRODUCT HERO,MADE-FOR-YOU SPECIFICITY,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_88.jpg,R08
89,A,PROVEN,F8 PROBLEM-AGITATION VISUAL,ANATOMY SELF-DIAGNOSIS (NO PRODUCT),https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_89.jpg,R09
90,A,PROVEN,F2 ILLUSTRATED BEFORE/AFTER & MECHANISM,STAGED TRANSFORMATION TIMELINE,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_90.jpg,R10
91,A,PROVEN,F1 PHOTOGRAPHIC BEFORE/AFTER,DAY-STAMPED HEALING GRID,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_91.jpg,R11
92,A,PROVEN,F3 ANNOTATED PRODUCT CALLOUTS,FORMULA CALLOUT X-PATTERN,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_92.jpg,R12
93,A,PROVEN,F6 BIG-CLAIM PRODUCT HERO,PRICE-ANCHOR SLASH,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_93.jpg,R13
94,A,PROVEN,F5 TESTIMONIAL & SOCIAL-PROOF,POST-IT HANDWRITTEN NOTE,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_94.jpg,R14
95,A,PROVEN,F1 PHOTOGRAPHIC BEFORE/AFTER,SPLIT-FACE COMPARISON,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_95.jpg,R15
96,A,PROVEN,F6 BIG-CLAIM PRODUCT HERO,PREMIUM NUMERAL UNDERLAY,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_96.jpg,R16
97,A,PROVEN,F5 TESTIMONIAL & SOCIAL-PROOF,BREAKING-NEWS POST-IT ON PRODUCT PILE,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_97.jpg,R17
98,A,PROVEN,F6 BIG-CLAIM PRODUCT HERO,PLAYFUL CLAIM + HIGHLIGHT BAR,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_98.jpg,R18
99,A,PROVEN,F5 TESTIMONIAL & SOCIAL-PROOF,PORTRAIT QUOTE WITH ATTRIBUTION BAR,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_99.jpg,R19
100,C,PROVEN,"F9 GRID, CHECKLIST & CATALOG",TRY-ON COLLAGE — WEAK-SIGNAL TEACHING CONTRAST,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_100.jpg,R20
101,A,PROVEN,F6 BIG-CLAIM PRODUCT HERO,PODIUM OFFER HERO,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_101.jpg,R21
102,A,PROVEN,F8 PROBLEM-AGITATION VISUAL,VISCERAL ORGAN CONCERN,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_102.jpg,R22
103,B,PROVEN,"F9 GRID, CHECKLIST & CATALOG",NEUTRAL RANGE GRID,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_103.jpg,R23
104,A,PROVEN,F4 US-VS-THEM COMPARISON,DURABILITY TIME-MATRIX,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_104.jpg,R24
105,A,PROVEN,F5 TESTIMONIAL & SOCIAL-PROOF,LIFESTYLE SCENE WITH FIRST-PERSON OVERLAY,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_105.jpg,R25
106,B,PROVEN,F2 ILLUSTRATED BEFORE/AFTER & MECHANISM,TIMELINE VARIANT,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_106.jpg,R26
107,A,PROVEN,F8 PROBLEM-AGITATION VISUAL,PATTERN-INTERRUPT MARKER-ON-SKIN,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_107.jpg,R27
108,A,PROVEN,F6 BIG-CLAIM PRODUCT HERO,CURIOSITY DEMO HERO,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_108.jpg,R28
109,A,PROVEN,F6 BIG-CLAIM PRODUCT HERO,PURE OFFER TRIO,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_109.jpg,R29
110,A,PROVEN,F1 PHOTOGRAPHIC BEFORE/AFTER,PROBLEM → FIX → RESULT SEQUENCE,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_110.jpg,R30
111,A,PROVEN,F8 PROBLEM-AGITATION VISUAL,FLASHLIGHT LABEL EXPOSÉ,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_111.jpg,R31
112,A,PROVEN,F3 ANNOTATED PRODUCT CALLOUTS,HAND-DRAWN MARKER ANNOTATION,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_112.jpg,R32
113,A,PROVEN,F4 US-VS-THEM COMPARISON,TESTED-THEM-ALL EXPOSÉ,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_113.jpg,R33
114,A,PROVEN,F6 BIG-CLAIM PRODUCT HERO,BLUNT BRAVADO + ICON ROW,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_114.jpg,R34
115,A,PROVEN,"F9 GRID, CHECKLIST & CATALOG",FOUR-AVATAR IDENTITY GRID,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_115.jpg,R35
116,A,PROVEN,F6 BIG-CLAIM PRODUCT HERO,TYPE-SCALE CONTRAST CLAIM,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_116.jpg,R36
117,A,PROVEN,F6 BIG-CLAIM PRODUCT HERO,FOUNDER HOLDING THE OFFER,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_117.jpg,R37
118,A,PROVEN,F4 US-VS-THEM COMPARISON,EXPERT WHITEBOARD CHECKLIST,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_118.jpg,R38
119,A,PROVEN,F6 BIG-CLAIM PRODUCT HERO,SENSORY-FEAR CLAIM,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_119.jpg,R39
120,A,PROVEN,F5 TESTIMONIAL & SOCIAL-PROOF,OVERSIZED QUOTE LEAD,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_120.jpg,R40
121,A,PROVEN,F4 US-VS-THEM COMPARISON,"COMPLEMENT TABLE (WITH, NOT AGAINST)",https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_121.jpg,R41
122,A,PROVEN,F3 ANNOTATED PRODUCT CALLOUTS,NUMBERED REASONS-WHY DIAGRAM,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_122.jpg,R42
123,A,PROVEN,"F9 GRID, CHECKLIST & CATALOG",SEASONAL URGENCY POSTER,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_123.jpg,R43
124,A,PROVEN,F2 ILLUSTRATED BEFORE/AFTER & MECHANISM,ELEGANT LINE-ART PROGRESS MAP,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_124.jpg,R44
125,A,PROVEN,F2 ILLUSTRATED BEFORE/AFTER & MECHANISM,CORRECTIVE TIMELINE WITH PRODUCT PAYOFF,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_125.jpg,R45
126,A,PROVEN,F5 TESTIMONIAL & SOCIAL-PROOF,STORY-STYLE AMA FRAME,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_126.jpg,R46
127,A,PROVEN,F6 BIG-CLAIM PRODUCT HERO,OBJECTION-KILL SPLIT,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_127.jpg,R47
128,A,PROVEN,F4 US-VS-THEM COMPARISON,PART VS PART,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_128.jpg,R48
129,A,PROVEN,F8 PROBLEM-AGITATION VISUAL,SHOCK EDUCATION SPLIT,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_129.jpg,R49
130,A,PROVEN,"F9 GRID, CHECKLIST & CATALOG",BENEFIT CHECKLIST + WEARER PORTRAIT,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_130.jpg,R50
131,A,PROVEN,F1 PHOTOGRAPHIC BEFORE/AFTER,PET BEFORE / 2-WEEKS-LATER SPLIT,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_131.jpg,hunt 2026-09
132,A,PROVEN,F2 ILLUSTRATED BEFORE/AFTER & MECHANISM,ILLUSTRATED MECHANISM B/A WITH CITED STAT,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_132.jpg,hunt 2026-09
133,A,PROVEN,F1 PHOTOGRAPHIC BEFORE/AFTER,"SAME-BODY B/A, MADE-FOR-MEN",https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_133.jpg,hunt 2026-09
134,A,PROVEN,F6 BIG-CLAIM PRODUCT HERO,THIS-IS-NOT-A-[ALTERNATIVE] OBJECTION-KILL,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_134.jpg,hunt 2026-09
135,A,PROVEN,F6 BIG-CLAIM PRODUCT HERO,INTRIGUE HEADLINE + ICON ROW,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_135.jpg,hunt 2026-09
136,A,PROVEN,F6 BIG-CLAIM PRODUCT HERO,"BUNDLE FLAT-LAY, ZERO EXCUSES",https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_136.jpg,hunt 2026-09
137,A,PROVEN,F6 BIG-CLAIM PRODUCT HERO,LUXURY TODAY-ONLY OFFER,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_137.jpg,hunt 2026-09
138,A,PROVEN,F6 BIG-CLAIM PRODUCT HERO,PRICE-DISBELIEF QUESTION ON WRIST,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_138.jpg,hunt 2026-09
139,A,PROVEN,F5 TESTIMONIAL & SOCIAL-PROOF,OVERSTOCK POST-IT IN THE SHIPPING BOX,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_139.jpg,hunt 2026-09
140,A,PROVEN,F3 ANNOTATED PRODUCT CALLOUTS,FEAR HEADLINE + MARKER CALLOUTS ON BODY,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_140.jpg,hunt 2026-09
141,B,PROVEN,F3 ANNOTATED PRODUCT CALLOUTS,ICON CALLOUTS ON THE WEARER (PET),https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_141.jpg,hunt 2026-09
142,B,PROVEN,F3 ANNOTATED PRODUCT CALLOUTS,SPEC CALLOUTS + GAUGE,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_142.jpg,hunt 2026-09
143,A,PROVEN,"F9 GRID, CHECKLIST & CATALOG",AVATAR-PAIN PRODUCT NAME + CHECKLIST,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_143.jpg,hunt 2026-09
144,A,PROVEN,"F9 GRID, CHECKLIST & CATALOG",GIANT COUNT CATALOG + NICHE ICON RAIL,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_144.jpg,hunt 2026-09
145,A,PROVEN,F7 EDITORIAL / ADVERTORIAL STYLE,MUSEUM SPECIMEN SHEET,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_145.jpg,hunt 2026-09
146,A,PROVEN,F7 EDITORIAL / ADVERTORIAL STYLE,MOST-[GROUP]-NEVER… STORY SLIDE 1/4,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_146.jpg,hunt 2026-09
147,A,PROVEN,F5 TESTIMONIAL & SOCIAL-PROOF,PORTRAIT + FIRST-PERSON HEADLINE + REVIEW CHIPS,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_147.jpg,hunt 2026-09
148,A,PROVEN,F8 PROBLEM-AGITATION VISUAL,SYMPTOM QUESTION + ONE-LINE PROTOCOL,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_148.jpg,hunt 2026-09
149,A,PROVEN,F6 BIG-CLAIM PRODUCT HERO,"FIRST PRINTING SOLD OUT, RESERVE THE NEXT",https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_149.jpg,hunt 2026-09
150,A,PROVEN,F6 BIG-CLAIM PRODUCT HERO,SOLD OUT 3 TIMES + BADGE + BOGO,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_150.jpg,hunt 2026-09
151,B,PROVEN,F6 BIG-CLAIM PRODUCT HERO,TINY DEVICE VS THE DREADED ALTERNATIVE,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_151.jpg,hunt 2026-09
